mensagem,categoria,confianca
olá! tudo bem? tem cupom para 1a compra?,solicitacao_informacao,0.9
"ola, tudo bem? meu nome é gisela, acabei de fazer um pedido.",saudacao,0.8
consegue me informar de onde é essa sandália?,duvida_produto,0.9
ah que bom!! é lindíssima!! parabéns.,agradecimento,0.95
"deixa eu tirar outra dúvida, vc faz consultoria de imagem/estilo tb? se sim, como funciona?",solicitacao_informacao,0.9
"eu quero comprar esses acessórios, como faço?",solicitacao_informacao,0.9
"ok, muito obrigada 😊",agradecimento,0.9
curtiu uma mensagem,reacao_emocional,0.9
vocês tem loja física?,evento_presencial,0.95
11 99635.2663,solicitacao_contato,0.8
curtiu uma mensagem,reacao_emocional,0.9
guarda sent an attachment.,mensagem_sistema,0.9
"boa tarde, me interessei pelos macacões, com zíper mostrados pela bia.",interesse_produto,0.95
macacões com mangas,interesse_produto,0.9
gostei da corrente dourada também.,interesse_produto,0.9
"os brincos argola frontal, não sei o nome da peça kkk",duvida_produto,0.9
"oi, pessoal, tudo bem? 

mariele da icon aqui. 

adoraria apresentar a agência e os talentos que representamos para vocês. 

acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! 

qual o melhor contato para falarmos disso, por favor? 

muito obrigada!",parceria_comercial,0.9
que lindoo😍,reacao_emocional,0.9
😍,reacao_emocional,0.9
"olá, sou o gerente de vendas da pg game platform. quero falar com você sobre parcerias. nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaçao em outubro. você pode se juntar a nós e lhe daremos altas comissões. entre em contato comigo pelo whatsapp: +13434802605",parceria_comercial,0.95
isabela sent an attachment.,mensagem_sistema,0.9
onde e a loja?,solicitacao_informacao,0.9
curtiu uma mensagem,reacao_emocional,0.9
"queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",interesse_produto,0.9
curtiu uma mensagem,reacao_emocional,0.9
iveasey sent an attachment.,nao_identificado,0.9
"de onde é esse
macacão maravilhoso!!! amo ❤️",solicitacao_informacao,0.9
sua roupa jeans é de onde?,duvida_produto,0.9
curtiu uma mensagem,reacao_emocional,0.9
"adorei, obrigada vcs!",agradecimento,0.95
"oi time da curadobia tudo bem? sou joana, sigo o perfil e amo! tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. queria saber de onde ela é, por favor. se puderem, vocês me contam? super obrigada! bj",solicitacao_informacao,0.9
"obrigada pelo retorno, as peças são incríveis! é que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,0.9
joyce sent an attachment.,mensagem_sistema,0.9
"precisei sair correndo por um problema com minha filha, que ja esta bem! mas nem consegui me despedir! obrigada queridas pelo convite!!!",agradecimento,0.9
curtiu uma mensagem,reacao_emocional,0.9
julia sent an attachment.,mensagem_sistema,0.9
gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referência.,duvida_produto,0.95
"muito obrigada, legal que sou do mesmo tamanho que ela!",agradecimento,0.9
e a calça é de onde?,duvida_produto,0.9
curtiu uma mensagem,reacao_emocional,0.9
uma coisa de lindo!,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
essa tshirt vai estar no evento?  namoro tanto ela,evento_presencial,0.9
isso é curadobia hein!,nao_identificado,0.8
"ahh pena! mas na hora certa, vai dar!",reacao_emocional,0.8
"bia!
será que a tshirt angela motta branca com uma manga bafônica vai ter amanhã? preciso dela",reposicao_estoque,0.95
obaaa!❤️❤️❤️,reacao_emocional,0.9
qual a marca do tenis?,duvida_produto,0.95
legal mto obrigada 💚,agradecimento,0.95
juliana sent an attachment.,mensagem_sistema,0.9
bom dia. comprei esta blusa mas a parte que passa encima do ombro está solta. é assim mesmo? podemos falar para eu entender melhor? obrigada. meu cel 983389576,duvida_produto,0.95
muito obrigada,agradecimento,0.95
oi,saudacao,0.95
pode me chamar novamente por favor?,solicitacao_contato,0.9
11,nao_identificado,0.9
993811193,solicitacao_contato,0.9
curtiu uma mensagem,reacao_emocional,0.9
"oi, as compras são direto no site?",solicitacao_informacao,0.9
"olá! bom dia! roupas lindas aqui! mas não encontrei muitas opções de tamanhos maiores. é isso mesmo? tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho g, gg. 44/46. poderiam me sugerir algumas opções?",duvida_produto,0.95
olá! muito obrigada!! vou ver em breve!!,agradecimento,0.95
oii,saudacao,0.9
obrigada! eu aviso sim!! gostei bastante! vou levar para a cliente.,agradecimento,0.9
"bia,
tudo bem?
tenho uma festa bem legal e o traje é black and white.
pensei na blusa pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar.
beijos 
julie",duvida_produto,0.95
jussara shared a product.,mensagem_sistema,0.9
qual tamanho?,duvida_produto,0.9
"bia, você acaba comigo com tantas coisas lindas do curadobia!!! queria muito que tivesse frete internacional ( canadá) eu fico aqui babando!!!! 😍",interesse_produto,0.8
"oi ana, obrigada pela resposta!
bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",reacao_emocional,0.8
tem cupom de desconto primeira compra?,solicitacao_informacao,0.9
"fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_produto,0.95
eh isso mesmo?,nao_identificado,0.8
muito obrigada pelos esclarecimentos,agradecimento,0.95
vcs tem desconto para primeira compra?,solicitacao_informacao,0.9
😍,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
o site está passando por problemas?,problema_tecnico,0.95
oi,saudacao,0.95
a regata chiquetosa vai voltar pro estoque?,reposicao_estoque,0.95
e a regata arrumadona?,duvida_produto,0.8
volta pro estoque?,reposicao_estoque,0.95
oi!,saudacao,0.95
a regata arrumadona m,interesse_produto,0.8
volta pro estoque?,reposicao_estoque,0.95
oi,saudacao,0.9
eu não recebi a confirmação dessa compra,rastreamento_pedido,0.95
sim,confirmacao,0.95
pode,nao_identificado,0.8
😍,reacao_emocional,0.9
😍,reacao_emocional,0.95
😍,reacao_emocional,0.9
🔥,reacao_emocional,0.9
"bia, td bom? não estou conseguindo finalizar a compra da ""regata podrinha"". coloquei os dados do cartão e no campo cvv eu ponho os números mas o sistema ignora que eu coloquei. tentei várias vezes, acho que está com problema…",problema_tecnico,0.95
curtiu uma mensagem,reacao_emocional,0.9
"oii

o site curadobia está fora do ar?? fui visitar através dos link da bio e não funcionou ... 

bjs",problema_tecnico,0.95
vou olhar aqui meu anti virus.. pq ele bloqueia o curadobia... veja:,problema_tecnico,0.9
oiee,saudacao,0.95
gosto muito dos looks mas percebo que ha muito jogo c volumes,interesse_produto,0.8
nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_produto,0.9
obrigada,agradecimento,0.95
😍,reacao_emocional,0.9
😍,reacao_emocional,0.9
"olá!! tudo bem? estou apaixonada por essa jaqueta bacanuda da foto. o preço de 546, pula pra setecentos e tanto na hora de comprar. é isso mesmo? entra um valor de comissão na hora da compra?",solicitacao_informacao,0.9
curtiu uma mensagem,reacao_emocional,0.9
"lindo o evento!
amei",evento_presencial,0.9
curtiu uma mensagem,reacao_emocional,0.9
luana shared a product.,mensagem_sistema,0.9
"olá! onde encontro os sapatos? este e as gladiadoras, especialmente.",solicitacao_informacao,0.9
na torcida ❤️,reacao_emocional,0.9
😍,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
lúcia shared a product.,nao_identificado,0.9
"visto g, qual tamanho seria?
quais cores tem?
tem a calça tb?",duvida_produto,0.95
"olá, tudo bem?!

meu nome é leonardo, trabalho na importadora @lulitex_textil
@lulitexfashion

vi o instagram da marca e vocês tem o perfil lulitex, muito sofisticação e bom gosto.

trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente.

nosso showroom tem um acervo enorme. será um prazer recebe-los em uma visita. 

poderia me passar o contato do estilo ou compras?

desde já agradeço a atenção.

att,
leonardo josé 
e-mail: leonardo@lulitex.com.br
pabx: +55 11 2105 1541 
whatsapp: 11 9.9600-2547
www.lulitex.com.br",parceria_comercial,0.9
❤️,reacao_emocional,0.95
"olá tudo bem ana e vc? 
que bacana… 

vou passar o whatsapp da maiá pode falar com ela por gentileza! 

11-983268095",solicitacao_contato,0.9
curtiu uma mensagem,reacao_emocional,0.9
👏,reacao_emocional,0.9
"linda calça, qual é a marca?",duvida_produto,0.95
reagiu com 👍 à sua mensagem,reacao_emocional,0.95
muito estilo,reacao_emocional,0.8
👏,reacao_emocional,0.9
olá. tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,problema_tecnico,0.9
fiz o processo 2x   será q cobrou 2x?,problema_tecnico,0.9
"boa tarde!
na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto.
poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",duvida_produto,0.95
estou vendo pelo celular sim.,confirmacao,0.9
tá joia.,confirmacao,0.9
muito obrigada pela atenção!,agradecimento,0.95
adorei a dica!,agradecimento,0.95
maria shared a product.,mensagem_sistema,0.9
maria shared a product.,mensagem_sistema,0.9
essa sandália calça certo ?calço 36 .será que preciso comprar 37 ?,duvida_produto,0.95
obrigada !!,agradecimento,0.95
maria shared a product.,mensagem_sistema,0.9
é acolchoada ?,duvida_produto,0.95
reagiu com 👍 à sua mensagem,reacao_emocional,0.9
lindas !!,reacao_emocional,0.8
que calça maravilhosa,agradecimento,0.9
qual o preço?,solicitacao_informacao,0.95
e a blusa?,solicitacao_informacao,0.8
🥰,reacao_emocional,0.9
adoro…!,reacao_emocional,0.9
😍,reacao_emocional,0.95
qual o endereço???,solicitacao_informacao,0.9
ok. obrigada 😊,agradecimento,0.9
"bom dia. estou interessada na blusa pah, mas estou em dúvida quanto ao tamanho. minhas medidas: busto 92 cm e cintura 75 cm.",duvida_produto,0.98
m,nao_identificado,0.9
"não gosto de nada apertado, mas essa blusa tem um shane mais ajustado. daí fiquei na dúvida.",duvida_produto,0.95
"ok, obrigada.",agradecimento,0.9
"acabei de comprar um conjunto. se não servir posso trocar?
pelo seu cep deve ser perto da minha casa.
o meu 04531-020",troca_devolucao,0.9
curtiu uma mensagem,reacao_emocional,0.9
a calça ficou sobrando muito atrás.,troca_devolucao,0.9
"e eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",reacao_emocional,0.9
marilene sent an attachment.,mensagem_sistema,0.9
tenho interesse nessa jaqueta,interesse_produto,0.9
😍,reacao_emocional,0.9
mari sent an attachment.,nao_identificado,0.9
oie!! essa calça  vai ter reposição na curadoria?,reposicao_estoque,0.95
"oie!!! são  lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",agradecimento,0.9
marta sent an attachment.,nao_identificado,0.9
como comprar ?,solicitacao_informacao,0.95
adorei! como funciona ?🤩,solicitacao_informacao,0.9
que lindo tudo!,reacao_emocional,0.8
foi muito legal,agradecimento,0.9
eu adorei !! ja usei minha saia hj,agradecimento,0.95
❤️❤️❤️❤️❤️,reacao_emocional,0.95
vamos pensar no q podemos fazer juntas🌺🌺,parceria_comercial,0.8
comprei a jaqueta 😻,reacao_emocional,0.8
"oi bia, tudo bem?

me chamo alice, sou sócia da monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas!

o que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria?

fico no aguardo!",parceria_comercial,0.95
curtiu uma mensagem,reacao_emocional,0.9
"claro, mando tudo la",confirmacao,0.9
obrigada pelo retorno!,agradecimento,0.95
mybasic sent an attachment.,mensagem_sistema,0.9
mybasic sent an attachment.,mensagem_sistema,0.9
curtiu uma mensagem,reacao_emocional,0.9
😍,reacao_emocional,0.95
😍,reacao_emocional,0.9
"ola boa tarde tudo bem?
tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084
obrigada",parceria_comercial,0.9
ei ana,saudacao,0.9
tudo bem?,saudacao,0.95
em março eu vou produzir reposição e cores novas de tudo,reposicao_estoque,0.9
agora estou organizando as coisas,nao_identificado,0.8
aí entro em contato vocês,solicitacao_contato,0.8
pode ser?,nao_identificado,0.8
sim,confirmacao,0.95
vamos marcar ☺️,solicitacao_contato,0.8
curtiu uma mensagem,reacao_emocional,0.9
uauuu ameiii! linda saia!,agradecimento,0.9
olivve sent an attachment.,mensagem_sistema,0.9
"oi, quanto custa a blusa modernosa? tem gg ?",solicitacao_informacao,0.9
"vou querer a 46, qual é sua chave pix?",solicitacao_informacao,0.9
"tá ótimo, obrigada",agradecimento,0.9
"olá! sua curadoria, projeto editorial e gráfico, são incríveis. parabéns! mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. muito difícil!",problema_tecnico,0.95
"olá, tudo bem? seriam essas peças:",solicitacao_informacao,0.8
"as duas camisas, o body, a calça e o colar. eu visto p.",duvida_produto,0.9
patifisch sent an attachment.,mensagem_sistema,0.95
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,duvida_produto,0.95
gosto da calça assim mais curta! visto entre 38-40 (quadril 95),duvida_produto,0.9
eu amo todos os seus looks! combina 100% com o meu estilo! queria ter todas as peças para mim! pena que moro do outro lado do mundo.,agradecimento,0.9
curtiu uma mensagem,reacao_emocional,0.9
"link da calça, por gentileza",solicitacao_informacao,0.9
curtiu uma mensagem,reacao_emocional,0.9
"olá, tudo bem?
entre em contato com nosso comercial, 085987859507",solicitacao_contato,0.9
paula sent an attachment.,mensagem_sistema,0.9
parabéns!!! excelente ideia!!! vim pelo insta da glória  kalil 😍 - torcendo por mais um sucesso!,agradecimento,0.9
👏,reacao_emocional,0.9
pri sent an attachment.,nao_identificado,0.9
vocês irao vender oysho????,reposicao_estoque,0.9
curtiu uma mensagem,reacao_emocional,0.9
"oi tudo bem? está com algum problema no site para pagar com cartão de crédito, o código cvv some",problema_tecnico,0.95
👏,reacao_emocional,0.9
"ola bia sou a daniela e gostaria de apresentar minha marca pra vc, a queens gate. minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! 
a sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc.
vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. 
moro em londres e minha sócia em sp e vou deixar meu whatsapp  pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉
obrigada !
+1(917)868-9790",parceria_comercial,0.95
feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,solicitacao_contato,0.8
https://www.instagram.com/queensgatestore?igsh=mjc0c2g5chnmn25k&utm_source=qr,parceria_comercial,0.8
"acho ótimo. pode ser segunda 29 na parte da tarde. estamos com 4horas de fuso, qual horário seria bom pra vc?",solicitacao_contato,0.8
fechado 3pm brasil !,nao_identificado,0.8
daniela.masson@hotmail.com,solicitacao_contato,0.8
obrigada ! até lá,agradecimento,0.95
"ola meninas seguem meus contatos:
+1(917)868-9790
daniela.masson@hotmail.com

muito bom falar com vcs ontem, obrigada ! falamos na sequência por whatsapp 🌷",solicitacao_contato,0.8
"oii, bia! tudo bem? por favor, de onde é essa calça? yes i am? procurei aqui no feed e não encontrei… obrigada!",solicitacao_informacao,0.9
curtiu uma mensagem,reacao_emocional,0.9
obrigada!,agradecimento,0.95
👏,reacao_emocional,0.9
esse é o fechado,nao_identificado,0.8
já tô seguindo 👊🏻,confirmacao,0.8
"olá!! bom dia!!
sou muito fã da bia, mas nunca comprei no curadoria.
uma dúvida: como faço para escolher um tamanho com mais segurança? tem uma tabela de medidas para servir de referência?
obrigada",duvida_produto,0.95
❤️❤️,reacao_emocional,0.9
😁😁,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
já vi e amei!! esperando a virada do cartao pra perder os juízo!,interesse_produto,0.9
😍,reacao_emocional,0.9
😍,reacao_emocional,0.9
salão sent an attachment.,nao_identificado,0.9
curtiu uma mensagem,reacao_emocional,0.9
ibaaaa,reacao_emocional,0.8
😍,reacao_emocional,0.9
👏,reacao_emocional,0.9
😍,reacao_emocional,0.95
ameiiiiiiii,reacao_emocional,0.9
😍,reacao_emocional,0.9
scorro shared a product.,mensagem_sistema,0.9
quero comprar mas preciso saber se ela calça certinho o número do calço o número 35. devo comprar o mesmo?,duvida_produto,0.95
"amoooo suas rasteiras, não são da sua lj, mas poderia indicar aonde têm aquela custo benefício?",solicitacao_informacao,0.9
reagiu com 👍 à sua mensagem,reacao_emocional,0.9
sheila shared a product.,mensagem_sistema,0.9
"por favor , me interessei por este macacão . quais tamanhos e como comprar ?",solicitacao_informacao,0.9
obrigada pelo retorno,agradecimento,0.95
teria as medidas do 42,duvida_produto,0.95
"pois sou , em algumas marcas , 44",duvida_produto,0.9
"e em outras , 42",nao_identificado,0.85
e quadril ?,duvida_produto,0.9
"vou checar as minhas medidas e volto com
vcs",nao_identificado,0.8
obrigada pelo retorno,agradecimento,0.95
macacão precisa  ser mais soltinho,duvida_produto,0.9
curtiu uma mensagem,reacao_emocional,0.9
"ainda não , super correria",nao_identificado,0.8
silvana sent an attachment.,mensagem_sistema,0.9
"olá, quanto custa a pantalona?",solicitacao_informacao,0.9
"olá, eu encontro as medidas no site?",duvida_produto,0.95
gostaria a camisa branca tamanho m. é possível?,interesse_produto,0.9
reagiu com 👍🏿 à sua mensagem,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
"bom dia tudo bem?
então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . 
como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . 
eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",duvida_produto,0.9
so.mimimi sent an attachment.,mensagem_sistema,0.9
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",reposicao_estoque,0.95
"perfeito!
fico no aguardo!
abraço",confirmacao,0.8
"oi, pessoal. tudo bem? estou com dúvida sobre numeração de uma peça de vocês.
aguardo retorno, obrigada! milene",duvida_produto,0.95
tudo bem e vocês?,saudacao,0.95
joia,confirmacao,0.9
estou de olho nessa peça aqui 👇🏻,interesse_produto,0.95
porém na dúvida do melhor tamanho,duvida_produto,0.95
eu costumo usar p ou pp se a confecção é grande,duvida_produto,0.9
36 ou 38,duvida_produto,0.95
não rsrs,nao_identificado,0.8
vou olhar,confirmacao,0.8
"na verdade eu já assisti ao vídeo do casaco no site curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",duvida_produto,0.95
joia,confirmacao,0.8
"posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao,0.95
outra dúvida é sobre o tom certinho dessa jaqueta. no site achei que estava num tom diferente dos stories,duvida_produto,0.95
joia,confirmacao,0.8
outra dúvida é sobre o tom certinho dessa jaqueta. no site achei que estava num tom diferente dos stories,duvida_produto,0.95
perfeito,agradecimento,0.8
"boa tarde, pessoal! tudo bem? estava namorando um macacão verde no site da marca d-aura, porém não localizei mais 😕. saiu de coleção? não terá reposição? aguardo. obrigada milene",reposicao_estoque,0.95
"tudo bem também.

que pena 😕
eu queria exatamente o verde! 😩",reacao_emocional,0.9
so.mimimi sent an attachment.,mensagem_sistema,0.9
vai ter reposição dessa calça?,reposicao_estoque,0.95
😍,reacao_emocional,0.95
nossa . perfeito,reacao_emocional,0.9
"olá, gente! bom dia! acabei de ver o post da bia sobre camisas. somos uma pequena alfaiataria e camisaria é o core da nossa criação. gostaria muito de apresentar nosso produto pra vocês. se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. abraço, stella",parceria_comercial,0.9
boa tarde! tudo ótimo! segunda à tarde em qualquer horário.,solicitacao_informacao,0.8
stellathomazbastos@gmail.com,solicitacao_contato,0.8
funciona,duvida_produto,0.8
11-991428141,solicitacao_contato,0.85
stella sent an attachment.,nao_identificado,0.9
stella sent an attachment.,mensagem_sistema,0.9
stella sent an attachment.,mensagem_sistema,0.9
stella sent an attachment.,mensagem_sistema,0.9
stella sent an attachment.,nao_identificado,0.9
"bem e vc ana!! 
muito obrigada",agradecimento,0.95
studio sent an attachment.,nao_identificado,0.9
👏,reacao_emocional,0.9
👏,reacao_emocional,0.9
👏,reacao_emocional,0.9
😮,reacao_emocional,0.9
😮,reacao_emocional,0.9
endereço,solicitacao_informacao,0.8
não tem mais numeração 37,reposicao_estoque,0.9
bom dia … obrigada 🙏🏻,agradecimento,0.9
poxa… que pena… quando tiverem me avise por favor,reposicao_estoque,0.9
"oiii boa tarde , 
me chamo talita e sou figurinista na emissora cnbc @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos , rita wu, erica reis , christiane pelajo , zeca camargo, natalia ariade estou apenas dando um exemplo do time de peso  que faz parte da emissora. 
as meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. 
podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel !
um beijo e aguardo retorno",parceria_comercial,0.95
"olá 
algum cupom de desconto na primeira compra?",solicitacao_informacao,0.9
"aaaah, perdi! quando vai ter offline de novo?",reposicao_estoque,0.9
curtiu uma mensagem,reacao_emocional,0.9
😍,reacao_emocional,0.95
foi só hoje ou vai ficar mais tempo?,reposicao_estoque,0.85
👏,reacao_emocional,0.9
👏,reacao_emocional,0.9
"olá, td bem? fiz uma compra com vc e recebi apenas o tricot. vc pode me ajudar ? muito obrigada desde já !",rastreamento_pedido,0.9
"perfeito, ana. obrigada pelo retorno. 😊",agradecimento,0.9
"deu certo, sim. obrigada",agradecimento,0.9
"oii, tudo bem??",saudacao,0.9
tudo bem também!!,saudacao,0.9
"somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",parceria_comercial,0.9
você poderia me passar o contato dos responsáveis?!,solicitacao_contato,0.9
muito obrigada!! tenham um bom fim de semana!,agradecimento,0.95
"boa tarde! comprei a blusa pah , mas não consigo deixá-la parecida como da foto… acho que estou usando de forma errada… tem alguma tutorial de como vesti-la ? rs",duvida_produto,0.95
já tentei três vezes. será que pode ser o tamanho?,duvida_produto,0.95
obrigada,agradecimento,0.95
bom dia! consegue me mandar o vídeo?,solicitacao_informacao,0.9
obrigada,agradecimento,0.95
que legal! vai ajudar muito!,agradecimento,0.9
"ai..me
ajuda com o vídeo …. ainda não usei a blusa!!",problema_tecnico,0.85
não consigo deixá-la deste jeito,nao_identificado,0.8
"olá bia 
tudo bem?",saudacao,0.95
"tudo bem bia 
gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",solicitacao_informacao,0.9
é fato! perguntei pois está a procurando uma peça e não encontrava,duvida_produto,0.8
mas super entendi e aproveito pra agradecer e elogiar seu trabalho,agradecimento,0.95
beijos,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",confirmacao,0.8
reagiu com 🖤 à sua mensagem,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
Oi boa tarde,saudacao,0.95
"As mensagens e ligações são protegidas com a criptografia de ponta a ponta. Somente as pessoas que fazem parte da conversa podem ler, ouvir e compartilhar esse conteúdo.",nao_identificado,0.9
Adriana - Cliente está na sua lista de contatos,mensagem_sistema,0.9
Oi bom dia! So queria confirmar a data de entrega de meu pedido,rastreamento_pedido,0.95
"Claro, 489",confirmacao,0.9
Obrigada! Vou viajar e queria estar com tudo em ordem antes de ir :),agradecimento,0.9
Obgd pela atencao!,agradecimento,0.95
"As mensagens e ligações são protegidas com a criptografia de ponta a ponta. Somente as pessoas que fazem parte da conversa podem ler, ouvir e compartilhar esse conteúdo.",nao_identificado,0.9
Oi nao consegui achar / acessqr a oeca.,problema_tecnico,0.9
Agora foi,confirmacao,0.9
"Deu tudo certo, parabéns pelo evento e manda meu beijo para a Bia.",agradecimento,0.9
"As mensagens e ligações são protegidas com a criptografia de ponta a ponta. Somente as pessoas que fazem parte da conversa podem ler, ouvir e compartilhar esse conteúdo.",nao_identificado,0.9
Boa tarde!,saudacao,0.95
"Eu queria devolver a jaqueta. Não ficou como imaginei.
Pensei em trocar pela calça fresquinha, mas fico com medo de não servir também.",troca_devolucao,0.95
Ah! Entendi,confirmacao,0.9
Obrigada!,agradecimento,0.95
Boa tarde!,saudacao,0.95
"Conforme a orientação acima, fiz a devolução da peça para a Nauanin e ela foi recebida no dia 06/11. Estou aguardando o estorno do valor pago.
Sabe me dizer a data, por favor? <Mensagem editada>",troca_devolucao,0.9
Que ótimo! Muito obrigada.,agradecimento,0.9
"As mensagens e ligações são protegidas com a criptografia de ponta a ponta. Somente as pessoas que fazem parte da conversa podem ler, ouvir e compartilhar esse conteúdo.",nao_identificado,0.9
Boa tarde!,saudacao,0.95
"Infelizmente não conseguirei participar do encontro de hoje, pois minha filha chegou da escola passando mal e vou precisar levá-la no pronto atendimento",evento_presencial,0.95
Sinto muito. Obrigada,agradecimento,0.9
Alessandra Faro,nao_identificado,0.9
Boa tarde!,saudacao,0.95
A jaqueta off da Nauanim voltou no site?,reposicao_estoque,0.95
Tamanho P é 0 ou 1?,duvida_produto,0.95
"Sim, quero no 1",confirmacao,0.9
"Olá, tudo bem?",saudacao,0.95
"As mensagens e ligações são protegidas com a criptografia de ponta a ponta. Somente as pessoas que fazem parte da conversa podem ler, ouvir e compartilhar esse conteúdo.",nao_identificado,0.9
Alessandra Libman - Cliente está na sua lista de contatos,mensagem_sistema,0.95
"Preciso fazer  a devolução de uma peça que ficou muito grande, como faço?",troca_devolucao,0.98
<anexado: 00000005-PHOTO-2024-10-30-19-37-30.jpg>,nao_identificado,0.8
Alessandra Gibin Libman pedido #432,rastreamento_pedido,0.9
"Ficou muito grande, acho que não vai ficar bom. Eu agradeço",troca_devolucao,0.9
"Ótimo, muito obrigada",agradecimento,0.95
"As mensagens e ligações são protegidas com a criptografia de ponta a ponta. Somente as pessoas que fazem parte da conversa podem ler, ouvir e compartilhar esse conteúdo.",nao_identificado,0.9
Olá bom dia,saudacao,0.9
"Eu fui no evento na terça, e queria saber se pode fazer troca?",troca_devolucao,0.9
"Comprei algumas peças…. E um vestido eu gostaria de trocar, se possível! Prrovei melhor aqui em casa, e não gostei tanto….",troca_devolucao,0.98
"Ah que bom!
Obrigada.
Aguardo então. 🙏",agradecimento,0.9
"Oie!
Tô chegando em casa em 20min…. Aí fazemos.",nao_identificado,0.8
Mas sim… o vinho!,nao_identificado,0.8
Ok!,confirmacao,0.95
<anexado: 00000025-PHOTO-2024-12-06-15-51-09.jpg>,nao_identificado,0.9
Pronto! Quero a camisa relax,interesse_produto,0.9
<anexado: 00000027-PHOTO-2024-12-06-16-13-50.jpg>,nao_identificado,0.8
P,nao_identificado,0.8
Experimentei o vestido de novo… com as minha sandálias…. Pra ter certeza! Mas realmente…. Não vai bem!!!!,troca_devolucao,0.9
Achei ele lindo mas vendo melhor não está legal,troca_devolucao,0.85
Como fazemos a troca?,troca_devolucao,0.95
"Olá bom dia. Ok
No aguardo!",confirmacao,0.8
